iter,app,performance,gpupower(W),power-efficiency,exetime(s),start,end,gpuUtil,gmemUtil,frequency
0,cudaTensorCoreGemm,25.600,77.3,0.331,269.00,2025-11-17 18:53:41.000,2025-11-17 18:58:10.000,99.34,96.27,2256
0,bandwidthTest,211.000,57.5,3.670,384.00,2025-11-17 18:58:30.000,2025-11-17 19:04:54.000,99.81,99.77,2304
0,transpose,120735.294,87.4,1381.692,68.00,2025-11-17 19:05:15.000,2025-11-17 19:06:23.000,98.84,1.48,2390
0,reductionMultiBlockCG,1711.191,64.1,26.716,277.00,2025-11-17 19:06:44.000,2025-11-17 19:11:21.000,98.74,98.02,2338
0,fastWalshTransform,43.897,62.1,0.707,198.00,2025-11-17 19:11:42.000,2025-11-17 19:15:00.000,99.54,99.29,2340
0,sortingNetworks,865.562,68.7,12.602,92.00,2025-11-17 19:15:20.000,2025-11-17 19:16:52.000,96.27,2.68,2325
0,BlackScholes,21.439,70.7,0.303,382.00,2025-11-17 19:17:12.000,2025-11-17 19:23:34.000,99.69,99.63,2325
1,cudaTensorCoreGemm,26.500,81.2,0.326,259.00,2025-11-17 19:24:16.000,2025-11-17 19:28:35.000,99.58,97.88,2353
1,fastWalshTransform,43.674,61.6,0.709,199.00,2025-11-17 19:28:55.000,2025-11-17 19:32:14.000,99.34,99.02,2327
1,BlackScholes,20.625,70.4,0.293,397.00,2025-11-17 19:32:35.000,2025-11-17 19:39:12.000,99.80,99.73,2337
1,transpose,112465.753,81.5,1379.322,73.00,2025-11-17 19:39:32.000,2025-11-17 19:40:45.000,97.73,4.42,2344
1,bandwidthTest,203.600,58.1,3.505,398.00,2025-11-17 19:41:06.000,2025-11-17 19:47:44.000,99.81,99.62,2342
1,reductionMultiBlockCG,1606.780,62.8,25.576,295.00,2025-11-17 19:48:05.000,2025-11-17 19:53:00.000,99.39,97.66,2337
1,sortingNetworks,879.473,68.2,12.893,94.00,2025-11-17 19:53:20.000,2025-11-17 19:54:54.000,97.66,4.87,2335
1,convolutionFFT2D,11694.934,77.7,150.518,137.00,2025-11-17 19:55:14.000,2025-11-17 19:57:31.000,98.19,98.03,2319
