iter,app,performance,gpupower(W),power-efficiency,exetime(s),start,end,gpuUtil,gmemUtil,frequency
0,reductionMultiBlockCG,1755.556,68.2,25.749,270.00,2025-11-17 20:32:16.000,2025-11-17 20:36:46.000,98.66,99.57,2475
0,fastWalshTransform,44.562,66.8,0.668,195.00,2025-11-17 20:37:07.000,2025-11-17 20:40:22.000,99.28,99.33,2475
0,convolutionFFT2D,13263.054,88.8,149.356,121.00,2025-11-17 20:40:42.000,2025-11-17 20:42:43.000,98.00,99.07,2467
0,BlackScholes,21.549,74.9,0.288,380.00,2025-11-17 20:43:03.000,2025-11-17 20:49:23.000,99.63,99.68,2475
0,cudaTensorCoreGemm,28.070,87.2,0.322,245.00,2025-11-17 20:49:45.000,2025-11-17 20:53:50.000,99.52,99.52,2475
0,transpose,124393.939,92.5,1344.447,66.00,2025-11-17 20:54:10.000,2025-11-17 20:55:16.000,99.10,1.29,2465
0,bandwidthTest,220.300,61.7,3.570,368.00,2025-11-17 20:55:36.000,2025-11-17 21:01:44.000,99.57,99.61,2475
0,sortingNetworks,927.852,76.6,12.111,84.00,2025-11-17 21:02:05.000,2025-11-17 21:03:29.000,96.48,1.09,2475
1,sortingNetworks,923.257,76.4,12.078,85.00,2025-11-17 21:03:50.000,2025-11-17 21:05:15.000,96.41,1.06,2475
1,bandwidthTest,219.900,61.6,3.570,369.00,2025-11-17 21:05:35.000,2025-11-17 21:11:44.000,99.47,99.47,2475
1,reductionMultiBlockCG,1768.657,67.7,26.116,268.00,2025-11-17 21:12:04.000,2025-11-17 21:16:32.000,98.28,99.29,2475
1,BlackScholes,21.984,75.6,0.291,373.00,2025-11-17 21:16:52.000,2025-11-17 21:23:05.000,99.55,99.60,2475
1,cudaTensorCoreGemm,28.190,87.1,0.324,244.00,2025-11-17 21:23:26.000,2025-11-17 21:27:30.000,99.20,99.22,2475
1,convolutionFFT2D,13366.162,88.8,150.463,120.00,2025-11-17 21:27:50.000,2025-11-17 21:29:50.000,97.53,98.69,2475
1,fastWalshTransform,46.064,66.7,0.690,188.00,2025-11-17 21:30:11.000,2025-11-17 21:33:19.000,99.68,99.72,2475
1,transpose,122537.313,91.5,1338.561,67.00,2025-11-17 21:33:39.000,2025-11-17 21:34:46.000,97.83,2.19,2475
