iter,app,performance,gpupower(W),power-efficiency,exetime(s),start,end,gpuUtil,gmemUtil,frequency
0,fastWalshTransform,46.319,67.6,0.685,187.00,2025-11-20 18:04:15.000,2025-11-20 18:07:22.000,99.36,99.39,2472
0,reductionMultiBlockCG,1768.657,69.6,25.420,268.00,2025-11-20 18:07:43.000,2025-11-20 18:12:11.000,98.56,99.58,2473
0,transpose,124393.939,94.0,1323.161,66.00,2025-11-20 18:12:32.000,2025-11-20 18:13:38.000,98.15,1.40,2440
0,convolutionFFT2D,13729.562,90.0,152.532,117.00,2025-11-20 18:13:58.000,2025-11-20 18:15:55.000,97.98,99.23,2459
0,BlackScholes,22.236,77.1,0.288,369.00,2025-11-20 18:16:15.000,2025-11-20 18:22:24.000,99.68,99.75,2471
0,cudaTensorCoreGemm,28.210,87.6,0.322,244.00,2025-11-20 18:22:45.000,2025-11-20 18:26:49.000,99.51,99.53,2472
0,bandwidthTest,219.000,61.4,3.569,370.00,2025-11-20 18:27:09.000,2025-11-20 18:33:19.000,99.68,99.76,2471
0,sortingNetworks,932.356,76.9,12.128,84.00,2025-11-20 18:33:40.000,2025-11-20 18:35:04.000,98.87,1.48,2463
1,sortingNetworks,932.240,76.5,12.179,84.00,2025-11-20 18:35:25.000,2025-11-20 18:36:49.000,94.55,1.06,2470
1,BlackScholes,22.219,75.6,0.294,368.00,2025-11-20 18:37:10.000,2025-11-20 18:43:18.000,99.78,99.81,2472
1,reductionMultiBlockCG,1768.657,67.8,26.080,268.00,2025-11-20 18:43:39.000,2025-11-20 18:48:07.000,99.38,99.37,2472
1,bandwidthTest,218.900,61.2,3.575,370.00,2025-11-20 18:48:27.000,2025-11-20 18:54:37.000,99.62,99.72,2469
1,convolutionFFT2D,13759.533,89.2,154.297,116.00,2025-11-20 18:54:58.000,2025-11-20 18:56:54.000,98.35,99.49,2466
1,fastWalshTransform,46.197,66.5,0.695,188.00,2025-11-20 18:57:15.000,2025-11-20 19:00:23.000,99.15,99.25,2467
1,transpose,124393.939,91.5,1360.157,66.00,2025-11-20 19:00:43.000,2025-11-20 19:01:49.000,98.22,1.62,2440
1,cudaTensorCoreGemm,28.280,87.0,0.325,243.00,2025-11-20 19:02:10.000,2025-11-20 19:06:13.000,99.74,99.68,2475
