iter,app,performance,gpupower(W),power-efficiency,exetime(s),start,end,gpuUtil,gmemUtil,frequency
0,cudaTensorCoreGemm,28.220,88.1,0.320,243.00,2025-11-20 15:45:52.000,2025-11-20 15:49:55.000,99.98,99.84,2460
0,sortingNetworks,918.209,76.3,12.030,85.00,2025-11-20 15:50:16.000,2025-11-20 15:51:41.000,96.63,1.25,2464
0,convolutionFFT2D,13352.197,88.4,151.080,120.00,2025-11-20 15:52:01.000,2025-11-20 15:54:01.000,98.31,98.69,2461
0,transpose,126307.692,92.4,1366.560,65.00,2025-11-20 15:54:22.000,2025-11-20 15:55:27.000,99.09,1.19,2454
0,bandwidthTest,217.900,61.5,3.544,371.00,2025-11-20 15:55:48.000,2025-11-20 16:01:59.000,99.84,99.85,2471
0,fastWalshTransform,46.114,66.6,0.693,188.00,2025-11-20 16:02:20.000,2025-11-20 16:05:28.000,99.60,99.38,2469
0,BlackScholes,22.207,75.7,0.293,369.00,2025-11-20 16:05:49.000,2025-11-20 16:11:58.000,99.73,99.75,2472
0,reductionMultiBlockCG,1775.281,67.9,26.129,267.00,2025-11-20 16:12:19.000,2025-11-20 16:16:46.000,99.76,99.84,2473
1,transpose,126307.692,92.9,1360.310,65.00,2025-11-20 16:17:07.000,2025-11-20 16:18:12.000,98.92,1.17,2466
1,convolutionFFT2D,13758.894,89.4,153.874,117.00,2025-11-20 16:18:32.000,2025-11-20 16:20:29.000,97.50,98.80,2452
1,sortingNetworks,932.882,76.1,12.256,85.00,2025-11-20 16:20:49.000,2025-11-20 16:22:14.000,97.37,1.48,2453
1,cudaTensorCoreGemm,28.310,87.0,0.325,243.00,2025-11-20 16:22:35.000,2025-11-20 16:26:38.000,99.67,99.68,2474
1,bandwidthTest,217.900,61.2,3.563,372.00,2025-11-20 16:26:58.000,2025-11-20 16:33:10.000,99.73,99.74,2461
1,BlackScholes,22.195,75.7,0.293,370.00,2025-11-20 16:33:30.000,2025-11-20 16:39:40.000,99.71,99.64,2470
1,fastWalshTransform,46.191,66.5,0.694,188.00,2025-11-20 16:40:00.000,2025-11-20 16:43:08.000,99.47,99.60,2463
1,reductionMultiBlockCG,1775.281,68.0,26.117,267.00,2025-11-20 16:43:29.000,2025-11-20 16:47:56.000,98.66,99.63,2475
